Using corruption mode: miss, corruption ratio: 0.7, imputation mode: insert_noise, imputation_noise_level: 0.4, subset ratio: 1.0
finetuning starts...
Available GPUs: 1
================
current task: cola
loading data...
Dataset size before subset: 8551
Loading a subset of the dataset for fine-tuning with ratio: 1.0
Subset size: 8551
preprocess and encode dataset...

Map (num_proc=8):   0%|          | 0/8551 [00:00<?, ? examples/s]
Map (num_proc=8):   0%|          | 32/8551 [00:00<00:40, 208.15 examples/s]
Map (num_proc=8):  13%|█▎        | 1088/8551 [00:00<00:01, 5105.04 examples/s]
Map (num_proc=8):  40%|███▉      | 3392/8551 [00:00<00:00, 11908.75 examples/s]
Map (num_proc=8):  66%|██████▌   | 5664/8551 [00:00<00:00, 15551.77 examples/s]
Map (num_proc=8):  92%|█████████▏| 7853/8551 [00:00<00:00, 16929.33 examples/s]
Map (num_proc=8): 100%|██████████| 8551/8551 [00:00<00:00, 11301.82 examples/s]

Map (num_proc=8):   0%|          | 0/1043 [00:00<?, ? examples/s]
Map (num_proc=8):  31%|███       | 323/1043 [00:00<00:00, 3213.81 examples/s]
Map (num_proc=8): 100%|██████████| 1043/1043 [00:00<00:00, 5073.27 examples/s]

Map (num_proc=8):   0%|          | 0/1063 [00:00<?, ? examples/s]
Map (num_proc=8):  56%|█████▌    | 596/1063 [00:00<00:00, 5950.78 examples/s]
Map (num_proc=8): 100%|██████████| 1063/1063 [00:00<00:00, 5748.28 examples/s]
Some weights of BertForSequenceClassification were not initialized from the model checkpoint at ./google-bert/bert-base-uncased and are newly initialized: ['classifier.bias', 'classifier.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Detected kernel version 4.19.91, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
creating model...
Model size: 109.48M
start training...

  0%|          | 0/1608 [00:00<?, ?it/s]
  0%|          | 1/1608 [00:01<46:39,  1.74s/it]
  0%|          | 2/1608 [00:01<21:22,  1.25it/s]
  0%|          | 3/1608 [00:02<13:08,  2.03it/s]
  0%|          | 4/1608 [00:02<09:16,  2.88it/s]
  0%|          | 5/1608 [00:02<07:06,  3.75it/s]
  0%|          | 6/1608 [00:02<05:49,  4.59it/s]
  0%|          | 7/1608 [00:02<05:00,  5.33it/s]
  0%|          | 8/1608 [00:02<04:27,  5.97it/s]
  1%|          | 9/1608 [00:02<04:05,  6.51it/s]
  1%|          | 10/1608 [00:02<03:50,  6.94it/s]
  1%|          | 11/1608 [00:02<03:39,  7.27it/s]
  1%|          | 12/1608 [00:03<03:32,  7.52it/s]
  1%|          | 13/1608 [00:03<03:27,  7.70it/s]
  1%|          | 14/1608 [00:03<03:23,  7.83it/s]
  1%|          | 15/1608 [00:03<03:20,  7.93it/s]
  1%|          | 16/1608 [00:03<03:19,  8.00it/s]
  1%|          | 17/1608 [00:03<03:18,  8.03it/s]
  1%|          | 18/1608 [00:03<03:16,  8.07it/s]
  1%|          | 19/1608 [00:03<03:16,  8.10it/s]
  1%|          | 20/1608 [00:04<03:15,  8.12it/s]
  1%|▏         | 21/1608 [00:04<03:15,  8.14it/s]
  1%|▏         | 22/1608 [00:04<03:14,  8.15it/s]
  1%|▏         | 23/1608 [00:04<03:14,  8.16it/s]
  1%|▏         | 24/1608 [00:04<03:14,  8.16it/s]
  2%|▏         | 25/1608 [00:04<03:14,  8.16it/s]
  2%|▏         | 26/1608 [00:04<03:14,  8.15it/s]
  2%|▏         | 27/1608 [00:04<03:15,  8.07it/s]
  2%|▏         | 28/1608 [00:05<03:15,  8.10it/s]
  2%|▏         | 29/1608 [00:05<03:14,  8.12it/s]
  2%|▏         | 30/1608 [00:05<03:14,  8.12it/s]
  2%|▏         | 31/1608 [00:05<03:13,  8.14it/s]
  2%|▏         | 32/1608 [00:05<03:13,  8.15it/s]
  2%|▏         | 33/1608 [00:05<03:13,  8.15it/s]
  2%|▏         | 34/1608 [00:05<03:13,  8.15it/s]
  2%|▏         | 35/1608 [00:05<03:12,  8.16it/s]
  2%|▏         | 36/1608 [00:06<03:12,  8.16it/s]
  2%|▏         | 37/1608 [00:06<03:12,  8.16it/s]
  2%|▏         | 38/1608 [00:06<03:12,  8.17it/s]
  2%|▏         | 39/1608 [00:06<03:12,  8.17it/s]
  2%|▏         | 40/1608 [00:06<03:11,  8.17it/s]
  3%|▎         | 41/1608 [00:06<03:12,  8.16it/s]
  3%|▎         | 42/1608 [00:06<03:12,  8.14it/s]
  3%|▎         | 43/1608 [00:06<03:12,  8.15it/s]
  3%|▎         | 44/1608 [00:07<03:11,  8.15it/s]
  3%|▎         | 45/1608 [00:07<03:11,  8.16it/s]
  3%|▎         | 46/1608 [00:07<03:11,  8.16it/s]
  3%|▎         | 47/1608 [00:07<03:11,  8.17it/s]
  3%|▎         | 48/1608 [00:07<03:10,  8.17it/s]
  3%|▎         | 49/1608 [00:07<03:10,  8.17it/s]
  3%|▎         | 50/1608 [00:07<03:10,  8.17it/s]
  3%|▎         | 51/1608 [00:07<03:10,  8.17it/s]
  3%|▎         | 52/1608 [00:08<03:10,  8.15it/s]
  3%|▎         | 53/1608 [00:08<03:11,  8.13it/s]
  3%|▎         | 54/1608 [00:08<03:11,  8.12it/s]
  3%|▎         | 55/1608 [00:08<03:11,  8.11it/s]
  3%|▎         | 56/1608 [00:08<03:11,  8.12it/s]
  4%|▎         | 57/1608 [00:08<03:10,  8.14it/s]
  4%|▎         | 58/1608 [00:08<03:10,  8.15it/s]
  4%|▎         | 59/1608 [00:08<03:09,  8.16it/s]
  4%|▎         | 60/1608 [00:09<03:09,  8.17it/s]
  4%|▍         | 61/1608 [00:09<03:09,  8.17it/s]
  4%|▍         | 62/1608 [00:09<03:09,  8.15it/s]
  4%|▍         | 63/1608 [00:09<03:09,  8.15it/s]
  4%|▍         | 64/1608 [00:09<03:09,  8.16it/s]
  4%|▍         | 65/1608 [00:09<03:09,  8.16it/s]
  4%|▍         | 66/1608 [00:09<03:08,  8.17it/s]
  4%|▍         | 67/1608 [00:09<03:08,  8.17it/s]
  4%|▍         | 68/1608 [00:09<03:08,  8.18it/s]
  4%|▍         | 69/1608 [00:10<03:08,  8.18it/s]
  4%|▍         | 70/1608 [00:10<03:08,  8.18it/s]
  4%|▍         | 71/1608 [00:10<03:07,  8.18it/s]
  4%|▍         | 72/1608 [00:10<03:07,  8.18it/s]
  5%|▍         | 73/1608 [00:10<03:07,  8.18it/s]
  5%|▍         | 74/1608 [00:10<03:07,  8.18it/s]
  5%|▍         | 75/1608 [00:10<03:07,  8.18it/s]
  5%|▍         | 76/1608 [00:10<03:07,  8.18it/s]
  5%|▍         | 77/1608 [00:11<03:07,  8.18it/s]
  5%|▍         | 78/1608 [00:11<03:07,  8.18it/s]
  5%|▍         | 79/1608 [00:11<03:06,  8.18it/s]
  5%|▍         | 80/1608 [00:11<03:06,  8.18it/s]
  5%|▌         | 81/1608 [00:11<03:07,  8.15it/s]
  5%|▌         | 82/1608 [00:11<03:07,  8.13it/s]
  5%|▌         | 83/1608 [00:11<03:07,  8.14it/s]
  5%|▌         | 84/1608 [00:11<03:07,  8.15it/s]
  5%|▌         | 85/1608 [00:12<03:07,  8.14it/s]
